course_title,tags
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)² Systems Security Certified Practitioner (SSCP) (ISC)² SPECIALIZATION Beginner
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,A Crash Course in Causality:  Inferring Causal Effects from Observational Data University of Pennsylvania COURSE Intermediate
A Crash Course in Data Science,A Crash Course in Data Science Johns Hopkins University COURSE Mixed
A Law Student's Toolkit,A Law Student's Toolkit Yale University COURSE Mixed
A Life of Happiness and Fulfillment,A Life of Happiness and Fulfillment Indian School of Business COURSE Mixed
ADHD: Everyday Strategies for Elementary Students,ADHD: Everyday Strategies for Elementary Students University at Buffalo COURSE Beginner
AI For Everyone,AI For Everyone deeplearning.ai COURSE Beginner
AI For Medical Treatment,AI For Medical Treatment deeplearning.ai COURSE Intermediate
AI Foundations for Everyone,AI Foundations for Everyone IBM SPECIALIZATION Beginner
AI for Medical Diagnosis,AI for Medical Diagnosis deeplearning.ai COURSE Intermediate
AI for Medical Prognosis,AI for Medical Prognosis deeplearning.ai COURSE Intermediate
AI for Medicine,AI for Medicine deeplearning.ai SPECIALIZATION Intermediate
AWS Fundamentals,AWS Fundamentals Amazon Web Services SPECIALIZATION Beginner
AWS Fundamentals: Addressing Security Risk,AWS Fundamentals: Addressing Security Risk Amazon Web Services COURSE Beginner
AWS Fundamentals: Building Serverless Applications,AWS Fundamentals: Building Serverless Applications Amazon Web Services COURSE Beginner
AWS Fundamentals: Going Cloud-Native,AWS Fundamentals: Going Cloud-Native Amazon Web Services COURSE Beginner
AWS Fundamentals: Migrating to the Cloud,AWS Fundamentals: Migrating to the Cloud Amazon Web Services COURSE Intermediate
Aboriginal Worldviews and Education,Aboriginal Worldviews and Education University of Toronto COURSE Mixed
Academic English: Writing,"Academic English: Writing University of California, Irvine SPECIALIZATION Beginner"
Accelerated Computer Science Fundamentals,Accelerated Computer Science Fundamentals University of Illinois at Urbana-Champaign SPECIALIZATION Intermediate
Access Controls,Access Controls (ISC)² COURSE Beginner
Accounting Analytics,Accounting Analytics University of Pennsylvania COURSE Mixed
Accounting for Decision Making,Accounting for Decision Making University of Michigan COURSE Intermediate
Achieving Personal and Professional Success,Achieving Personal and Professional Success University of Pennsylvania SPECIALIZATION Beginner
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Actualización en el manejo del paciente con diabetes mellitus tipo 2 Universidad Nacional Autónoma de México COURSE Mixed
Addiction Treatment: Clinical Skills for Healthcare Providers,Addiction Treatment: Clinical Skills for Healthcare Providers Yale University COURSE Beginner
Advanced Business Analytics,Advanced Business Analytics University of Colorado Boulder SPECIALIZATION Intermediate
Advanced Data Science with IBM,Advanced Data Science with IBM IBM SPECIALIZATION Advanced
Advanced Machine Learning,Advanced Machine Learning National Research University Higher School of Economics SPECIALIZATION Advanced
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Advanced Machine Learning with TensorFlow on Google Cloud Platform Google Cloud SPECIALIZATION Advanced
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital","Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital Erasmus University Rotterdam COURSE Advanced"
Advertising and Society,Advertising and Society Duke University COURSE Mixed
Age of Cathedrals,Age of Cathedrals Yale University COURSE Beginner
Agile Development,Agile Development University of Virginia SPECIALIZATION Beginner
Agile Meets Design Thinking,Agile Meets Design Thinking University of Virginia COURSE Beginner
Agile with Atlassian Jira,Agile with Atlassian Jira Atlassian COURSE Beginner
Agile и Scrum в работе над проектами и продуктами,Agile и Scrum в работе над проектами и продуктами ScrumTrek COURSE Beginner
Algorithmic Toolbox,Algorithmic Toolbox University of California San Diego COURSE Intermediate
Algorithms,Algorithms Stanford University SPECIALIZATION Intermediate
Algorithms for Battery Management Systems,Algorithms for Battery Management Systems University of Colorado System SPECIALIZATION Intermediate
American Contract Law I,American Contract Law I Yale University COURSE Beginner
An Introduction to American Law,An Introduction to American Law University of Pennsylvania COURSE Beginner
An Introduction to Consumer Neuroscience & Neuromarketing,An Introduction to Consumer Neuroscience & Neuromarketing Copenhagen Business School COURSE Beginner
An Introduction to Programming the Internet of Things (IOT),"An Introduction to Programming the Internet of Things (IOT) University of California, Irvine SPECIALIZATION Beginner"
Analysing: Numeric and digital literacies,Analysing: Numeric and digital literacies Macquarie University SPECIALIZATION Beginner
Anatomy,Anatomy University of Michigan SPECIALIZATION Beginner
"Anatomy of the Chest, Abdomen, and Pelvis","Anatomy of the Chest, Abdomen, and Pelvis Yale University COURSE Intermediate"
Anatomy: Musculoskeletal and Integumentary Systems,Anatomy: Musculoskeletal and Integumentary Systems University of Michigan COURSE Beginner
Ancient Philosophy: Aristotle and His Successors,Ancient Philosophy: Aristotle and His Successors University of Pennsylvania COURSE Mixed
Android App Development,Android App Development Vanderbilt University SPECIALIZATION Beginner
Animal Behaviour and Welfare,Animal Behaviour and Welfare The University of Edinburgh COURSE Mixed
Antibiotic Stewardship,Antibiotic Stewardship Stanford University COURSE Advanced
Anticorrupción: Introducción a conceptos y perspectiva práctica,Anticorrupción: Introducción a conceptos y perspectiva práctica Universidad Nacional Autónoma de México COURSE Beginner
Antimicrobial resistance - theory and methods,Antimicrobial resistance - theory and methods Technical University of Denmark (DTU) COURSE Intermediate
Applied Data Science,Applied Data Science IBM SPECIALIZATION Beginner
Applied Data Science Capstone,Applied Data Science Capstone IBM COURSE Intermediate
Applied Data Science with Python,Applied Data Science with Python University of Michigan SPECIALIZATION Intermediate
Applied Machine Learning in Python,Applied Machine Learning in Python University of Michigan COURSE Intermediate
"Applied Plotting, Charting & Data Representation in Python","Applied Plotting, Charting & Data Representation in Python University of Michigan COURSE Intermediate"
Aprende a programar con Python,Aprende a programar con Python Universidad Austral SPECIALIZATION Beginner
Aprender,Aprender Universidad Nacional Autónoma de México COURSE Mixed
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn) University of California San Diego COURSE Beginner
Architecting with Google Cloud Platform 日本語版,Architecting with Google Cloud Platform 日本語版 Google Cloud SPECIALIZATION Intermediate
Architecting with Google Compute Engine,Architecting with Google Compute Engine Google Cloud SPECIALIZATION Intermediate
Architecting with Google Kubernetes Engine 日本語版,Architecting with Google Kubernetes Engine 日本語版 Google Cloud SPECIALIZATION Beginner
Arizona State University TESOL,Arizona State University TESOL Arizona State University PROFESSIONAL CERTIFICATE Beginner
Art & Activity: Interactive Strategies for Engaging with Art,Art & Activity: Interactive Strategies for Engaging with Art The Museum of Modern Art COURSE Mixed
Art & Ideas: Teaching with Themes,Art & Ideas: Teaching with Themes The Museum of Modern Art COURSE Mixed
Arts and Culture Strategy,Arts and Culture Strategy National Arts Strategies COURSE Mixed
Arts and Heritage Management,Arts and Heritage Management Università Bocconi COURSE Mixed
Aspectos básicos de la planificación y la gestión de proyectos,Aspectos básicos de la planificación y la gestión de proyectos University of Virginia COURSE Beginner
Astrobiology and the Search for Extraterrestrial Life,Astrobiology and the Search for Extraterrestrial Life The University of Edinburgh COURSE Mixed
Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles Pontificia Universidad Católica de Chile COURSE Intermediate
Autism Spectrum Disorder,"Autism Spectrum Disorder University of California, Davis COURSE Mixed"
Autodesk CAD/CAM for Manufacturing,Autodesk CAD/CAM for Manufacturing Autodesk SPECIALIZATION Intermediate
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk CAD/CAM/CAE for Mechanical Engineering Autodesk SPECIALIZATION Intermediate
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep Autodesk COURSE Advanced
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk Certified Professional: Revit for Architectural Design Exam Prep Autodesk COURSE Advanced
BIM Fundamentals for Engineers,BIM Fundamentals for Engineers National Taiwan University COURSE Beginner
Basic Statistics,Basic Statistics University of Amsterdam COURSE Beginner
Bayesian Statistics: From Concept to Data Analysis,"Bayesian Statistics: From Concept to Data Analysis University of California, Santa Cruz COURSE Intermediate"
Bayesian Statistics: Techniques and Models,"Bayesian Statistics: Techniques and Models University of California, Santa Cruz COURSE Intermediate"
Become a CBRS Certified Professional Installer by Google,Become a CBRS Certified Professional Installer by Google Google - Spectrum Sharing COURSE Mixed
Become a Journalist: Report the News!,Become a Journalist: Report the News! Michigan State University SPECIALIZATION Beginner
Become a Sustainable Business Change Agent,Become a Sustainable Business Change Agent University of Colorado System SPECIALIZATION Intermediate
Becoming a Sports Agent,Becoming a Sports Agent Case Western Reserve University COURSE Beginner
Becoming a changemaker: Introduction to Social Innovation,Becoming a changemaker: Introduction to Social Innovation University of Cape Town COURSE Beginner
Behavioral Finance,Behavioral Finance Duke University COURSE Mixed
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development University of Michigan COURSE Mixed
Big Data – Introducción al uso práctico de datos masivos,Big Data – Introducción al uso práctico de datos masivos Universitat Autònoma de Barcelona SPECIALIZATION Beginner
Biohacking Your Brain's Health,Biohacking Your Brain's Health Emory University COURSE Beginner
Biology Meets Programming: Bioinformatics for Beginners,Biology Meets Programming: Bioinformatics for Beginners University of California San Diego COURSE Beginner
Biostatistics in Public Health,Biostatistics in Public Health Johns Hopkins University SPECIALIZATION Beginner
Blended Language Learning: Design and Practice for Teachers,Blended Language Learning: Design and Practice for Teachers University of Colorado Boulder COURSE Intermediate
Blockchain,Blockchain University at Buffalo SPECIALIZATION Intermediate
Blockchain Revolution,Blockchain Revolution INSEAD SPECIALIZATION Beginner
Blockchain Revolution in Financial Services,Blockchain Revolution in Financial Services INSEAD SPECIALIZATION Beginner
Blockchain: Foundations and Use Cases,Blockchain: Foundations and Use Cases ConsenSys Academy COURSE Beginner
Boosting Creativity for Innovation,Boosting Creativity for Innovation HEC Paris COURSE Beginner
"Brand Management: Aligning Business, Brand and Behaviour","Brand Management: Aligning Business, Brand and Behaviour London Business School COURSE Beginner"
Branding: The Creative Journey,Branding: The Creative Journey IE Business School SPECIALIZATION Beginner
Budgeting and Scheduling Projects,"Budgeting and Scheduling Projects University of California, Irvine COURSE Mixed"
Bugs 101: Insect-Human Interactions,Bugs 101: Insect-Human Interactions University of Alberta COURSE Beginner
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course) Hebrew University of Jerusalem COURSE Mixed
Building Batch Data Pipelines on GCP,Building Batch Data Pipelines on GCP Google Cloud COURSE Intermediate
Building Conversational Experiences with Dialogflow,Building Conversational Experiences with Dialogflow Google Cloud COURSE Beginner
Building Resilient Streaming Analytics Systems on GCP,Building Resilient Streaming Analytics Systems on GCP Google Cloud COURSE Intermediate
